feature,importance
collisions_roll30_sum,2091.6666666666665
wspd,1583.0
tmin,1318.0
tavg,1301.0
tmax,1187.3333333333333
collisions_roll14_sum,1049.0
collision_momentum,962.6666666666666
prcp,879.0
collisions_roll7_sum,869.3333333333334
year,819.3333333333334
dow,661.3333333333334
dow_cos,565.6666666666666
month,532.0
month_sin,471.0
collisions_roll30_mean,465.3333333333333
snow,459.0
dow_sin,445.3333333333333
collisions_lag7,412.6666666666667
collisions_lag14,402.3333333333333
month_cos,302.0
collisions_lag1,235.0
collisions_roll14_mean,203.66666666666666
pre_holiday,194.0
collisions_roll7_mean,182.0
is_holiday,95.0
ksi_collisions_roll30_sum,89.0
post_holiday,86.33333333333333
ksi_weighted_score_roll30_sum,74.0
is_weekend,44.666666666666664
ksi_collisions_roll14_sum,37.0
wind_rain,32.0
feels_bad,29.666666666666668
freezing_rain,29.333333333333332
rain_day,29.0
ksi_weighted_score_roll7_sum,25.666666666666668
ksi_weighted_score_roll14_sum,21.0
ksi_collisions_roll7_sum,19.333333333333332
ksi_collisions_roll30_mean,18.333333333333332
freeze_day,16.0
ksi_weighted_score_roll30_mean,14.333333333333334
ksi_weighted_score_lag7,13.0
road_construction_count_roll30_sum,13.0
ksi_collisions_lag7,12.0
cold_dry,12.0
snow_day,12.0
construction_total_pressure,9.333333333333334
ksi_ratio_lag1,8.0
road_construction_count_halo_roll14_sum,7.666666666666667
ksi_collisions_roll14_mean,6.666666666666667
ksi_weighted_score_roll7_mean,6.0
ksi_collisions_lag14,5.0
road_construction_count,5.0
heavy_snow,5.0
ksi_weighted_score_roll14_mean,4.666666666666667
ksi_collisions_roll7_mean,4.0
road_construction_count_roll30_mean,3.6666666666666665
ksi_collisions_lag1,3.0
road_construction_count_halo,2.6666666666666665
ksi_weighted_score_lag14,2.6666666666666665
ksi_weighted_score_lag1,2.3333333333333335
road_construction_count_halo_lag1,1.6666666666666667
road_construction_count_roll14_sum,1.3333333333333333
road_construction_count_halo_roll7_sum,1.0
road_construction_severity_weighted_roll30_sum,1.0
road_construction_count_halo_roll14_mean,1.0
construction_pressure_norm,1.0
road_construction_severity_weighted,0.6666666666666666
road_construction_count_lag14,0.6666666666666666
road_construction_count_halo_lag7,0.6666666666666666
road_construction_severity_weighted_halo_roll14_mean,0.3333333333333333
road_construction_severity_weighted_halo,0.3333333333333333
road_construction_severity_weighted_roll30_mean,0.3333333333333333
road_events_full_closure_count,0.0
road_events_severity_weighted,0.0
road_construction_full_closure_count,0.0
road_events_count,0.0
road_events_count_roll30_mean,0.0
road_events_severity_weighted_lag1,0.0
road_events_severity_weighted_lag7,0.0
road_events_count_roll7_mean,0.0
road_events_count_roll14_sum,0.0
road_events_count_roll14_mean,0.0
road_events_count_roll7_sum,0.0
road_events_count_lag1,0.0
road_events_count_lag7,0.0
road_events_count_lag14,0.0
road_construction_count_roll14_mean,0.0
road_construction_count_lag7,0.0
road_construction_count_roll7_sum,0.0
road_construction_count_roll7_mean,0.0
road_events_severity_weighted_roll14_mean,0.0
road_events_severity_weighted_roll30_sum,0.0
road_events_severity_weighted_roll30_mean,0.0
road_construction_count_lag1,0.0
road_events_severity_weighted_roll14_sum,0.0
road_events_severity_weighted_roll7_mean,0.0
road_events_severity_weighted_roll7_sum,0.0
road_events_severity_weighted_lag14,0.0
road_events_count_roll30_sum,0.0
road_construction_severity_weighted_roll14_sum,0.0
road_construction_severity_weighted_roll14_mean,0.0
road_construction_severity_weighted_lag1,0.0
road_construction_full_closure_count_halo,0.0
road_events_full_closure_count_halo,0.0
road_events_count_halo_norm,0.0
road_events_severity_weighted_halo_norm,0.0
road_construction_severity_weighted_halo_norm,0.0
road_construction_full_closure_count_halo_norm,0.0
road_events_full_closure_count_halo_norm,0.0
road_construction_count_halo_norm,0.0
is_event_disrupted_halo,0.0
is_zone_disrupted,0.0
road_construction_severity_weighted_roll7_mean,0.0
road_construction_severity_weighted_roll7_sum,0.0
road_events_severity_weighted_halo,0.0
road_events_count_halo,0.0
road_construction_severity_weighted_lag14,0.0
road_construction_severity_weighted_lag7,0.0
road_events_count_halo_roll14_mean,0.0
road_events_count_halo_roll14_sum,0.0
road_events_count_halo_roll7_mean,0.0
road_events_count_halo_roll7_sum,0.0
road_events_count_halo_lag7,0.0
road_events_count_halo_lag1,0.0
road_events_severity_weighted_halo_roll14_sum,0.0
road_events_severity_weighted_halo_lag1,0.0
road_events_full_closure_count_halo_lag7,0.0
road_events_full_closure_count_halo_lag1,0.0
road_events_severity_weighted_halo_roll14_mean,0.0
road_events_full_closure_count_halo_roll7_sum,0.0
road_events_full_closure_count_halo_roll14_mean,0.0
road_events_severity_weighted_halo_lag7,0.0
road_events_severity_weighted_halo_roll7_sum,0.0
road_events_severity_weighted_halo_roll7_mean,0.0
road_construction_count_halo_roll7_mean,0.0
road_events_full_closure_count_halo_roll7_mean,0.0
road_events_full_closure_count_halo_roll14_sum,0.0
road_construction_severity_weighted_halo_lag1,0.0
road_construction_severity_weighted_halo_lag7,0.0
road_construction_severity_weighted_halo_roll7_sum,0.0
road_construction_severity_weighted_halo_roll7_mean,0.0
road_construction_severity_weighted_halo_roll14_sum,0.0
road_construction_full_closure_count_halo_lag1,0.0
road_construction_full_closure_count_halo_lag7,0.0
road_construction_full_closure_count_halo_roll7_sum,0.0
road_construction_full_closure_count_halo_roll7_mean,0.0
road_construction_full_closure_count_halo_roll14_sum,0.0
road_construction_full_closure_count_halo_roll14_mean,0.0
surge_proba_t1,0.0
surge_proba_t2,0.0
