coord_key,latitude,longitude,error
43.6_-79.6,43.6,-79.6,failed in batch after retries
43.6_-79.5,43.6,-79.5,failed in batch after retries
43.6_-79.4,43.6,-79.4,failed in batch after retries
43.6_-79.3,43.6,-79.3,failed in batch after retries
43.7_-79.6,43.7,-79.6,failed in batch after retries
43.7_-79.5,43.7,-79.5,failed in batch after retries
43.7_-79.4,43.7,-79.4,failed in batch after retries
43.7_-79.3,43.7,-79.3,failed in batch after retries
43.7_-79.2,43.7,-79.2,failed in batch after retries
43.8_-79.6,43.8,-79.6,failed in batch after retries
43.8_-79.5,43.8,-79.5,failed in batch after retries
43.8_-79.4,43.8,-79.4,failed in batch after retries
43.8_-79.3,43.8,-79.3,failed in batch after retries
43.8_-79.2,43.8,-79.2,failed in batch after retries
43.8_-79.1,43.8,-79.1,failed in batch after retries
